district,province,urban_male,urban_female,urban_total,rural_male,rural_female,rural_total,total_male,total_female,total_both,year
province Center (Maidan Shahr),Wardak,1586,1586,3172,19759,19028,38787,21345,20614,41959,1395
Nerkh,Wardak,,,0,30493,28663,59156,30493,28663,59156,1395
Jalrez,Wardak,,,0,28053,26956,55009,28053,26956,55009,1395
Chak-e- Wardak,Wardak,,,0,44886,42690,87576,44886,42690,87576,1395
Sayyid Abad,Wardak,,,0,61718,58790,120508,61718,58790,120508,1395
Daimir Dad,Wardak,,,0,16344,15856,32200,16344,15856,32200,1395
Hissa-e- awali Behsud,Wardak,,,0,19516,18905,38421,19516,18905,38421,1395
Jaghatoo,Wardak,,,0,24150,23297,47447,24150,23297,47447,1395
Markaz-e- Behsud,Wardak,,,0,62815,60986,123801,62815,60986,123801,1395
province Center(Puli Alam),Logar,2908,2776,5684,52814,51350,104164,55722,54126,109848,1395
Baraki Barak,Logar,2247,2247,4494,44032,42446,86478,46279,44693,90972,1395
Charkh,Logar,,,0,23418,22687,46105,23418,22687,46105,1395
khushi,Logar,,,0,12685,12319,25004,12685,12319,25004,1395
Mohammad Agha,Logar,,,0,40007,38299,78306,40007,38299,78306,1395
Khar war,Logar,,,0,13783,13416,27199,13783,13416,27199,1395
Azra,Logar,,,0,10855,10246,21101,10855,10246,21101,1395
province Center (Jalalabad),Ningarhar,119901,113000,232901,,,0,119901,113000,232901,1395
Behsud,Ningarhar,,,0,59888,58058,117946,59888,58058,117946,1395
Surkh Rud,Ningarhar,,,0,64401,60620,125021,64401,60620,125021,1395
Chapar har,Ningarhar,,,0,31835,30737,62572,31835,30737,62572,1395
Kama,Ningarhar,,,0,40860,38909,79769,40860,38909,79769,1395
Kuzkunar,Ningarhar,,,0,29395,27687,57082,29395,27687,57082,1395
Rodat,Ningarhar,,,0,36835,34884,71719,36835,34884,71719,1395
Khogyani,Ningarhar,2512,2379,4891,67084,63547,130631,69596,65926,135522,1395
Bati Kot,Ningarhar,,,0,40007,38543,78550,40007,38543,78550,1395
Deh Bala,Ningarhar,,,0,21467,20369,41836,21467,20369,41836,1395
Pachir Waagam,Ningarhar,,,0,22687,21467,44154,22687,21467,44154,1395
Darah -e- Noor,Ningarhar,,,0,21345,20491,41836,21345,20491,41836,1395
Kott,Ningarhar,,,0,27322,26712,54034,27322,26712,54034,1395
Goshta,Ningarhar,,,0,14393,13905,28298,14393,13905,28298,1395
Achin,Ningarhar,,,0,52936,51106,104042,52936,51106,104042,1395
Shinwar,Ningarhar,,,0,31713,30493,62206,31713,30493,62206,1395
Muhmand ِِDara,Ningarhar,,,0,23906,22687,46593,23906,22687,46593,1395
Lalpoor,Ningarhar,,,0,10855,10368,21223,10855,10368,21223,1395
Sher Zad,Ningarhar,,,0,35006,33786,68792,35006,33786,68792,1395
Nazyan,Ningarhar,,,0,7928,7318,15246,7928,7318,15246,1395
Hesarak,Ningarhar,,,0,16344,15612,31956,16344,15612,31956,1395
Dur Baba,Ningarhar,,,0,12441,11709,24150,12441,11709,24150,1395
province Center (Mehterlam),Laghman,2776,2511,5287,66352,62937,129289,69128,65448,134576,1395
Qarghayee,Laghman,,,0,52082,49642,101724,52082,49642,101724,1395
Alishing,Laghman,,,0,37811,36226,74037,37811,36226,74037,1395
Alingar,Laghman,,,0,51472,48911,100383,51472,48911,100383,1395
Dawlat Shah,Laghman,,,0,17686,16832,34518,17686,16832,34518,1395
Bad pakh,Laghman,,,0,3903,3781,7684,3903,3781,7684,1395
province Center (Bazarak),Panjshir,,,0,10001,9514,19515,10001,9514,19515,1395
Rukha,Panjshir,,,0,12197,11587,23784,12197,11587,23784,1395
Darah,Panjshir,,,0,7318,7074,14392,7318,7074,14392,1395
Hissa-e- Awal (Khinj),Panjshir,,,0,21223,20247,41470,21223,20247,41470,1395
Unaba,Panjshir,,,0,9636,9026,18662,9636,9026,18662,1395
Shutul,Panjshir,,,0,5733,5611,11344,5733,5611,11344,1395
Paryan,Panjshir,,,0,7806,7562,15368,7806,7562,15368,1395
Ab shar,Panjshir,,,0,5855,5611,11466,5855,5611,11466,1395
province Center (Pul-i-Khumri),Baghlan,56839,54063,110902,56229,53180,109409,113068,107243,220311,1395
Dahana-e-Ghuri,Baghlan,925,793,1718,30493,28907,59400,31418,29700,61118,1395
Dooshi,Baghlan,,,0,35494,33908,69402,35494,33908,69402,1395
Nahreen,Baghlan,2776,2511,5287,34152,32444,66596,36928,34955,71883,1395
Baghlan-e- Jadeed,Baghlan,35821,35558,71379,55619,53423,109042,91440,88981,180421,1395
Khenjan,Baghlan,,,0,16100,15490,31590,16100,15490,31590,1395
Andarab,Baghlan,,,0,13539,12929,26468,13539,12929,26468,1395
Deh Salah,Baghlan,,,0,17198,15978,33176,17198,15978,33176,1395
Khwaja hejran (Jalga),Baghlan,,,0,12807,11953,24760,12807,11953,24760,1395
Burka,Baghlan,,,0,28053,26590,54643,28053,26590,54643,1395
Talah-o-barfak,Baghlan,,,0,16222,15125,31347,16222,15125,31347,1395
Pul –e-Hisar,Baghlan,,,0,14880,13783,28663,14880,13783,28663,1395
Khost –o-Fereng,Baghlan,,,0,33664,31835,65499,33664,31835,65499,1395
Gozargah-e- Noor,Baghlan,,,0,5489,5001,10490,5489,5001,10490,1395
Freng-o-Gharoo,Baghlan,,,0,8782,8416,17198,8782,8416,17198,1395
province Center (Bamyan),Bamyan,6609,6609,13218,36713,36835,73548,43322,43444,86766,1395
Shebar,Bamyan,,,0,15856,14759,30615,15856,14759,30615,1395
Saighan,Bamyan,,,0,12685,12197,24882,12685,12197,24882,1395
Kohmard,Bamyan,,,0,19271,18418,37689,19271,18418,37689,1395
Yakawlang,Bamyan,,,0,31957,31224,63181,31957,31224,63181,1395
Panjab,Bamyan,,,0,35738,35006,70744,35738,35006,70744,1395
Waras,Bamyan,,,0,57449,55741,113190,57449,55741,113190,1395
Yakawlang NO 2,Bamyan,,,0,14149,13417,27566,14149,13417,27566,1395
province Center(Ghazni),Ghazni,31592,30270,61862,54887,53180,108067,86479,83450,169929,1395
Khogiani,Ghazni,,,0,10733,10124,20857,10733,10124,20857,1395
Khwaja Omari,Ghazni,,,0,9880,9757,19637,9880,9757,19637,1395
Waghaz,Ghazni,,,0,20613,19393,40006,20613,19393,40006,1395
Deh Yak,Ghazni,,,0,25858,24882,50740,25858,24882,50740,1395
Jaghatoo,Ghazni,,,0,16832,16100,32932,16832,16100,32932,1395
Andar,Ghazni,,,0,66475,62937,129412,66475,62937,129412,1395
Zanakhan,Ghazni,,,0,6708,6343,13051,6708,6343,13051,1395
Rashidan,Ghazni,,,0,9514,9148,18662,9514,9148,18662,1395
Nawur,Ghazni,,,0,49886,48301,98187,49886,48301,98187,1395
Qara Bagh,Ghazni,,,0,75744,72451,148195,75744,72451,148195,1395
Giro,Ghazni,,,0,19759,18174,37933,19759,18174,37933,1395
Ab Band,Ghazni,,,0,14759,13783,28542,14759,13783,28542,1395
Jaghuri,Ghazni,,,0,93308,89893,183201,93308,89893,183201,1395
Muqur,Ghazni,,,0,27078,25126,52204,27078,25126,52204,1395
Malestan,Ghazni,,,0,42812,42324,85136,42812,42324,85136,1395
Gelan,Ghazni,,,0,30737,29273,60010,30737,29273,60010,1395
Ajristan,Ghazni,,,0,15368,14515,29883,15368,14515,29883,1395
Nawa,Ghazni,,,0,15857,15002,30859,15857,15002,30859,1395
province Center(Sharan),Paktika,1586,1322,2908,25126,24028,49154,26712,25350,52062,1395
Mata Khan,Paktika,,,0,13295,12563,25858,13295,12563,25858,1395
Yosuf Khel,Paktika,,,0,7197,6830,14027,7197,6830,14027,1395
Yahya Khel,Paktika,,,0,9270,8782,18052,9270,8782,18052,1395
Sar Rawza,Paktika,,,0,12319,11709,24028,12319,11709,24028,1395
Omna,Paktika,,,0,6464,6099,12563,6464,6099,12563,1395
Zarghun Shahr,Paktika,,,0,15856,15124,30980,15856,15124,30980,1395
Gomal,Paktika,,,0,4147,3903,8050,4147,3903,8050,1395
Jani Khel,Paktika,,,0,12807,12075,24882,12807,12075,24882,1395
Surubi,Paktika,,,0,6586,6343,12929,6586,6343,12929,1395
Urgoon,Paktika,,,0,29395,27931,57326,29395,27931,57326,1395
Ziruk,Paktika,,,0,10245,9758,20003,10245,9758,20003,1395
Nika,Paktika,,,0,6708,6221,12929,6708,6221,12929,1395
Barmal,Paktika,,,0,18540,17564,36104,18540,17564,36104,1395
Giyan,Paktika,,,0,18540,17564,36104,18540,17564,36104,1395
Dela-wa-khoshmand,Paktika,,,0,13417,12685,26102,13417,12685,26102,1395
Wazakhwah,Paktika,,,0,12319,11709,24028,12319,11709,24028,1395
Wormamay,Paktika,,,0,1830,1830,3660,1830,1830,3660,1395
Turwo,Paktika,,,0,1098,1098,2196,1098,1098,2196,1395
province Center(Gardez),Paktia,12954,12425,25379,31591,30249,61840,44545,42674,87219,1395
Ahmad Abad,Paktia,,,0,14515,14393,28908,14515,14393,28908,1395
Zurmat,Paktia,,,0,57083,54521,111604,57083,54521,111604,1395
Shwak,Paktia,,,0,2927,2805,5732,2927,2805,5732,1395
Wuza Zadran,Paktia,,,0,19028,17808,36836,19028,17808,36836,1395
Said Karam,Paktia,,,0,29639,28175,57814,29639,28175,57814,1395
Jaji,Paktia,,,0,33542,31835,65377,33542,31835,65377,1395
Laja Ahmad khel,Paktia,,,0,12197,11465,23662,12197,11465,23662,1395
Jani Khel,Paktia,,,0,18662,17564,36226,18662,17564,36226,1395
Samkani,Paktia,,,0,26102,25736,51838,26102,25736,51838,1395
Dand Patan,Paktia,,,0,14147,13417,27564,14147,13417,27564,1395
laja mangel,Paktia,,,0,9880,9636,19516,9880,9636,19516,1395
Mirzaka,Paktia,,,0,4635,4269,8904,4635,4269,8904,1395
province Center(Khost),Khost,6213,5816,12029,66596,64401,130997,72809,70217,143026,1395
Manduzay (Esmayel khil),Khost,,,0,30127,28419,58546,30127,28419,58546,1395
Gurbuz,Khost,,,0,14027,13173,27200,14027,13173,27200,1395
Tanay,Khost,,,0,31469,30371,61840,31469,30371,61840,1395
Musa khel,Khost,,,0,21711,20857,42568,21711,20857,42568,1395
Nadir Shah kot,Khost,,,0,17076,15978,33054,17076,15978,33054,1395
Sabari (Yaqubi),Khost,,,0,37445,36104,73549,37445,36104,73549,1395
Tirzayee (Ali Sher),Khost,,,0,23906,22443,46349,23906,22443,46349,1395
Baak,Khost,,,0,11709,11221,22930,11709,11221,22930,1395
Qalandar,Khost,,,0,5489,5123,10612,5489,5123,10612,1395
Spera,Khost,,,0,13051,12197,25248,13051,12197,25248,1395
Shamul,Khost,,,0,7318,6831,14149,7318,6831,14149,1395
Jaji Maidan,Khost,,,0,12929,12075,25004,12929,12075,25004,1395
province Center (Asad Abad),Kunar,7402,6874,14276,10612,10001,20613,18014,16875,34889,1395
Mara wara,Kunar,,,0,10733,10490,21223,10733,10490,21223,1395
Watapoor,Kunar,,,0,14514,13905,28419,14514,13905,28419,1395
Narang Wa Badil,Kunar,,,0,15978,15368,31346,15978,15368,31346,1395
Sar Kani,Kunar,,,0,14393,13905,28298,14393,13905,28298,1395
Shigal,Kunar,,,0,6323,6149,12472,6323,6149,12472,1395
Dara-e- Pech,Kunar,,,0,29151,27566,56717,29151,27566,56717,1395
Bar Kunar,Kunar,,,0,11587,11221,22808,11587,11221,22808,1395
Sawkai,Kunar,,,0,19028,18052,37080,19028,18052,37080,1395
Khas Kunar,Kunar,,,0,18418,17930,36348,18418,17930,36348,1395
Ghazi Abad,Kunar,,,0,9880,9513,19393,9880,9513,19393,1395
Dangam,Kunar,,,0,9026,8538,17564,9026,8538,17564,1395
Chapa Dara,Kunar,,,0,16588,15612,32200,16588,15612,32200,1395
Noorgal,Kunar,,,0,16954,15856,32810,16954,15856,32810,1395
Nari,Kunar,,,0,14759,13905,28664,14759,13905,28664,1395
Sheltan,Kunar,,,0,9167,8732,17899,9167,8732,17899,1395
province Center (Paroon),Nooristan,,,0,7197,6830,14027,7197,6830,14027,1395
Waygal,Nooristan,,,0,10733,9636,20369,10733,9636,20369,1395
Wama,Nooristan,,,0,5855,5611,11466,5855,5611,11466,1395
Noor Gram,Nooristan,,,0,17198,16344,33542,17198,16344,33542,1395
Duab,Nooristan,,,0,4025,4147,8172,4025,4147,8172,1395
Kamdish,Nooristan,,,0,13051,13173,26224,13051,13173,26224,1395
Mandol,Nooristan,,,0,10611,9880,20491,10611,9880,20491,1395
Bargi Matal,Nooristan,,,0,8050,8050,16100,8050,8050,16100,1395
province center (Faiz Abad),Badakhshan,17713,16919,34632,17930,17442,35372,35643,34361,70004,1395
Urgo,Badakhshan,,,0,41836,39519,81355,41836,39519,81355,1395
Arghanj Khwah,Badakhshan,,,0,8416,8294,16710,8416,8294,16710,1395
Yaftal-e-Sufla,Badakhshan,,,0,27565,27200,54765,27565,27200,54765,1395
Khash,Badakhshan,,,0,20125,19393,39518,20125,19393,39518,1395
Baharak,Badakhshan,,,0,15002,14881,29883,15002,14881,29883,1395
Darayem,Badakhshan,,,0,32444,31469,63913,32444,31469,63913,1395
Hissa-e-Awali Kohistan,Badakhshan,,,0,8904,8294,17198,8904,8294,17198,1395
Yawan,Badakhshan,,,0,17320,16344,33664,17320,16344,33664,1395
Jurm,Badakhshan,1982,1851,3833,17808,17442,35250,19790,19293,39083,1395
Tashkan,Badakhshan,,,0,15978,15002,30980,15978,15002,30980,1395
Shuhada,Badakhshan,,,0,18418,17442,35860,18418,17442,35860,1395
Shahr-i-Buzurg,Badakhshan,,,0,27444,26834,54278,27444,26834,54278,1395
Raghistan,Badakhshan,,,0,21101,20003,41104,21101,20003,41104,1395
Kishm,Badakhshan,,,0,42934,40982,83916,42934,40982,83916,1395
Wardooj,Badakhshan,,,0,11587,11099,22686,11587,11099,22686,1395
Tagab,Badakhshan,,,0,14881,14271,29152,14881,14271,29152,1395
Yamgan(Girwan),Badakhshan,,,0,13783,12929,26712,13783,12929,26712,1395
Sheghnan,Badakhshan,,,0,14881,14027,28908,14881,14027,28908,1395
Khwahan,Badakhshan,,,0,8660,8538,17198,8660,8538,17198,1395
Kufab,Badakhshan,,,0,11587,11587,23174,11587,11587,23174,1395
Darwaz-e- Payin (Mamay),Badakhshan,,,0,13905,13539,27444,13905,13539,27444,1395
Eshkashem,Badakhshan,,,0,7318,7074,14392,7318,7074,14392,1395
Shiki,Badakhshan,,,0,13783,13539,27322,13783,13539,27322,1395
Zebak,Badakhshan,,,0,4269,3903,8172,4269,3903,8172,1395
Keren –o-Menjan,Badakhshan,,,0,5001,4879,9880,5001,4879,9880,1395
Darwaz-e- Bala (Nesay),Badakhshan,,,0,12075,11953,24028,12075,11953,24028,1395
Wakhan,Badakhshan,,,0,7928,7562,15490,7928,7562,15490,1395
province Center (Taluqan),Takhar,37936,37276,75212,82087,78427,160514,120023,115703,235726,1395
Hazar Sumuch,Takhar,,,0,7318,6952,14270,7318,6952,14270,1395
Baharak,Takhar,,,0,16344,15734,32078,16344,15734,32078,1395
Bangi,Takhar,,,0,18418,18052,36470,18418,18052,36470,1395
Chal,Takhar,,,0,15124,14149,29273,15124,14149,29273,1395
Namak Ab,Takhar,,,0,6464,6221,12685,6464,6221,12685,1395
Kalafgan,Takhar,,,0,18418,18174,36592,18418,18174,36592,1395
Farkhar,Takhar,1322,1454,2776,23418,22443,45861,24740,23897,48637,1395
Khwaja Ghar,Takhar,3701,3569,7270,31835,30615,62450,35536,34184,69720,1395
Rustaq,Takhar,6874,6477,13351,80623,76598,157221,87497,83075,170572,1395
Eshkamesh,Takhar,,,0,30981,30249,61230,30981,30249,61230,1395
Dashti Qala,Takhar,,,0,16832,16344,33176,16832,16344,33176,1395
Warsaj,Takhar,,,0,20247,19150,39397,20247,19150,39397,1395
Khwaja Bahawuddin,Takhar,,,0,12075,12075,24150,12075,12075,24150,1395
Darqad,Takhar,,,0,14515,13417,27932,14515,13417,27932,1395
Chahab,Takhar,12690,12028,24718,29273,28053,57326,41963,40081,82044,1395
Yangi Qala,Takhar,5155,4759,9914,18540,17930,36470,23695,22689,46384,1395
province Center (Kunduz),Kunduz,83384,78784,162168,82033,79755,161788,165417,158539,323956,1395
Chahar Darah,Kunduz,,,0,38787,37445,76232,38787,37445,76232,1395
Ali Abad,Kunduz,,,0,24760,24150,48910,24760,24150,48910,1395
Khan Abad,Kunduz,21942,20753,42695,50040,49911,99951,71982,70664,142646,1395
Hazrati Imam Sahib,Kunduz,18638,17845,36483,87667,84831,172498,106305,102676,208981,1395
Dasht-i- Archi,Kunduz,1851,1586,3437,42812,41714,84526,44663,43300,87963,1395
Qala –i-Zal,Kunduz,10046,9517,19563,26956,26102,53058,37002,35619,72621,1395
Calbad,Kunduz,,,0,16985,16039,33024,16985,16039,33024,1395
Gultipa,Kunduz,,,0,5054,4772,9826,5054,4772,9826,1395
Akhtash,Kunduz,,,0,13019,12295,25314,13019,12295,25314,1395
province Center (Aybak),Samangan,15201,15201,30402,39763,37933,77696,54964,53134,108098,1395
Hazrat –i-Sultan,Samangan,,,0,22199,20735,42934,22199,20735,42934,1395
Khuram Wa Sarbagh,Samangan,,,0,21101,20247,41348,21101,20247,41348,1395
Feroz Nakhcheer,Samangan,,,0,6952,6587,13539,6952,6587,13539,1395
Rui- Do- Ab,Samangan,,,0,24638,22687,47325,24638,22687,47325,1395
Dara -e-soof-i-Payin,Samangan,,,0,38177,35982,74159,38177,35982,74159,1395
Dara -e-soof-e- Bala,Samangan,,,0,33908,33176,67084,33908,33176,67084,1395
province Center (Mazar-e- sharif),Balkh,212918,202135,415053,,,0,212918,202135,415053,1395
Nahr-i-shahi,Balkh,,,0,23784,22809,46593,23784,22809,46593,1395
Dehdadi,Balkh,,,0,35860,34152,70012,35860,34152,70012,1395
Char kent,Balkh,,,0,23662,22443,46105,23662,22443,46105,1395
Marmul,Balkh,,,0,5977,5855,11832,5977,5855,11832,1395
Balkh,Balkh,8328,7798,16126,55131,53301,108432,63459,61099,124558,1395
Sholgara,Balkh,5552,5287,10839,55009,52570,107579,60561,57857,118418,1395
Chamtal,Balkh,,,0,48423,46715,95138,48423,46715,95138,1395
Dawlat Abad,Balkh,5816,5420,11236,50008,47813,97821,55824,53233,109057,1395
Khulm,Balkh,26701,25115,51816,11831,11343,23174,38532,36458,74990,1395
Char Bolak,Balkh,,,0,42812,41226,84038,42812,41226,84038,1395
Shortepa,Balkh,,,0,21101,20003,41104,21101,20003,41104,1395
Kaldar,Balkh,,,0,10612,10124,20736,10612,10124,20736,1395
Koshendah,Balkh,,,0,25736,24760,50496,25736,24760,50496,1395
Zari,Balkh,,,0,23175,22321,45496,23175,22321,45496,1395
province Center (Sar-e-Pul),Sar-i-Pul,16259,15333,31592,66840,63303,130143,83099,78636,161735,1395
Sayyad,Sar-i-Pul,,,0,29273,27322,56595,29273,27322,56595,1395
Kohistanat,Sar-i-Pul,,,0,42568,40495,83063,42568,40495,83063,1395
Sozma Qala,Sar-i-Pul,,,0,26102,25248,51350,26102,25248,51350,1395
Sancharak,Sar-i-Pul,6873,6345,13218,47691,44397,92088,54564,50742,105306,1395
Gosfandi,Sar-i-Pul,,,0,28907,29883,58790,28907,29883,58790,1395
Balkhab,Sar-i-Pul,,,0,26834,25370,52204,26834,25370,52204,1395
province Center (Chighcheran),Ghor,3701,3569,7270,67694,65865,133559,71395,69434,140829,1395
Duleena,Ghor,,,0,19028,18417,37445,19028,18417,37445,1395
Dawlatyar,Ghor,,,0,17076,16832,33908,17076,16832,33908,1395
Char Sada,Ghor,,,0,14515,13905,28420,14515,13905,28420,1395
Pasaband,Ghor,,,0,50374,48057,98431,50374,48057,98431,1395
Shahrak,Ghor,,,0,32078,30005,62083,32078,30005,62083,1395
Lal-o-Sar-i-Jangal,Ghor,,,0,58546,57692,116238,58546,57692,116238,1395
Taywara,Ghor,,,0,49154,45739,94893,49154,45739,94893,1395
Tulak,Ghor,,,0,27566,25858,53424,27566,25858,53424,1395
Saghar,Ghor,,,0,18662,17320,35982,18662,17320,35982,1395
province Center (Nili),Dehkondi,,,0,21711,20613,42324,21711,20613,42324,1395
Shahrestan,Dehkondi,,,0,35494,33542,69036,35494,33542,69036,1395
Ishterlai,Dehkondi,,,0,25370,24028,49398,25370,24028,49398,1395
Khadeer,Dehkondi,,,0,24882,23541,48423,24882,23541,48423,1395
Giti,Dehkondi,,,0,17930,16832,34762,17930,16832,34762,1395
Mir Amor,Dehkondi,,,0,33298,31713,65011,33298,31713,65011,1395
Sang -e- Takht,Dehkondi,,,0,26955,25614,52569,26955,25614,52569,1395
Gujran,Dehkondi,,,0,18662,17686,36348,18662,17686,36348,1395
Gizab,Dehkondi,1982,1851,3833,34152,32322,66474,36134,34173,70307,1395
province Center (Tirinkot),Uruzghan,3569,3437,7006,51838,47813,99651,55407,51250,106657,1395
Dehraoud,Uruzghan,1851,1718,3569,30981,28907,59888,32832,30625,63457,1395
Chora,Uruzghan,,,0,27077,25980,53057,27077,25980,53057,1395
Shahidhassas,Uruzghan,,,0,31103,30127,61230,31103,30127,61230,1395
Khas Urozgan,Uruzghan,,,0,30249,28419,58668,30249,28419,58668,1395
Chinarto,Uruzghan,,,0,6830,6465,13295,6830,6465,13295,1395
province Center (Qalat),Zabul,6477,6080,12557,12441,11953,24394,18918,18033,36951,1395
Tarang Wa Jaldak,Zabul,,,0,9148,8660,17808,9148,8660,17808,1395
Shinkai,Zabul,,,0,12563,11831,24394,12563,11831,24394,1395
Mizan,Zabul,,,0,7318,6952,14270,7318,6952,14270,1395
Arghandab,Zabul,,,0,17442,16466,33908,17442,16466,33908,1395
Shah Joi,Zabul,,,0,31103,29517,60620,31103,29517,60620,1395
Daichopan,Zabul,,,0,20857,20004,40861,20857,20004,40861,1395
Atghar,Zabul,,,0,4635,4391,9026,4635,4391,9026,1395
Naw Bahar,Zabul,,,0,9880,9636,19516,9880,9636,19516,1395
Shemel Zayi,Zabul,,,0,13905,12929,26834,13905,12929,26834,1395
Kakar (khak-e-afghan),Zabul,,,0,12807,12197,25004,12807,12197,25004,1395
province Center (Kandahar),Kandhar,230744,217518,448262,51594,48789,100383,282338,266307,548645,1395
Arghandab,Kandhar,,,0,33054,31225,64279,33054,31225,64279,1395
Daman,Kandhar,,,0,18540,17442,35982,18540,17442,35982,1395
Panjwayee,Kandhar,,,0,45983,44398,90381,45983,44398,90381,1395
Zhire,Kandhar,,,0,45617,43422,89039,45617,43422,89039,1395
Shah Wali Kot,Kandhar,,,0,23053,21954,45007,23053,21954,45007,1395
Khakrez,Kandhar,,,0,12075,11587,23662,12075,11587,23662,1395
Arghistan,Kandhar,,,0,18296,17442,35738,18296,17442,35738,1395
Ghorak,Kandhar,,,0,5123,4879,10002,5123,4879,10002,1395
Maiwand,Kandhar,,,0,30859,30005,60864,30859,30005,60864,1395
Spin Boldak,Kandhar,,,0,53668,50740,104408,53668,50740,104408,1395
Nesh,Kandhar,,,0,7074,6830,13904,7074,6830,13904,1395
Miyanishin,Kandhar,,,0,8050,7562,15612,8050,7562,15612,1395
Shorabak,Kandhar,,,0,6099,5854,11953,6099,5854,11953,1395
Maruf,Kandhar,,,0,17564,16710,34274,17564,16710,34274,1395
Reg,Kandhar,,,0,4757,4513,9270,4757,4513,9270,1395
Dand,Kandhar,,,0,23662,22931,46593,23662,22931,46593,1395
Takhta pul,Kandhar,,,0,6830,6343,13173,6830,6343,13173,1395
province Center (Sheberghan),Juzjan,42563,41373,83936,46105,44886,90991,88668,86259,174927,1395
Khwaja Dukoh,Juzjan,,,0,14271,13661,27932,14271,13661,27932,1395
Khanaqa,Juzjan,,,0,12197,11953,24150,12197,11953,24150,1395
Mingajik,Juzjan,,,0,22809,21711,44520,22809,21711,44520,1395
Qush Tepa,Juzjan,,,0,12441,11953,24394,12441,11953,24394,1395
Khamyab,Juzjan,,,0,7440,7074,14514,7440,7074,14514,1395
Aqchah,Juzjan,12822,12293,25115,27688,26712,54400,40510,39005,79515,1395
Faizabad,Juzjan,,,0,22077,21101,43178,22077,21101,43178,1395
Mardyan,Juzjan,,,0,20247,19759,40006,20247,19759,40006,1395
Qarqin,Juzjan,4098,3833,7931,9026,8782,17808,13124,12615,25739,1395
Darzab,Juzjan,1057,1058,2115,25004,23906,48910,26061,24964,51025,1395
province Center (Maimana),Faryab,44017,42034,86051,,,0,44017,42034,86051,1395
Pashtun kot,Faryab,,,0,100748,95138,195886,100748,95138,195886,1395
Khuwaja Sabz Posh –i-Wali,Faryab,,,0,27078,25614,52692,27078,25614,52692,1395
Almar,Faryab,,,0,36957,35982,72939,36957,35982,72939,1395
Balcheragh,Faryab,,,0,27809,26346,54155,27809,26346,54155,1395
Sherin Tagab,Faryab,,,0,43178,41348,84526,43178,41348,84526,1395
Qaisar,Faryab,,,0,75622,72207,147829,75622,72207,147829,1395
Garziwan,Faryab,,,0,39885,38787,78672,39885,38787,78672,1395
Dawlat Abad,Faryab,2643,2644,5287,23053,22199,45252,25696,24843,50539,1395
Hissa-e-Awali Kohistan,Faryab,,,0,28785,27809,56594,28785,27809,56594,1395
Qaram Qul,Faryab,,,0,10246,10124,20370,10246,10124,20370,1395
Qurghan,Faryab,,,0,24761,24150,48911,24761,24150,48911,1395
Andkhoy,Faryab,17052,16919,33971,4147,4025,8172,21199,20944,42143,1395
Khan –i-Charbagh,Faryab,,,0,12197,11831,24028,12197,11831,24028,1395
province Center (Lashkargah),Helmand,23925,21678,45603,32078,30493,62571,56003,52171,108174,1395
Nad Ali,Helmand,,,0,48422,46227,94649,48422,46227,94649,1395
Nawa-i- Barikzayi,Helmand,,,0,49520,46959,96479,49520,46959,96479,1395
Nahr-i- Saraj,Helmand,5552,5155,10707,57083,54277,111360,62635,59432,122067,1395
Washer,Helmand,,,0,8294,7928,16222,8294,7928,16222,1395
Garm Ser,Helmand,,,0,46837,44398,91235,46837,44398,91235,1395
Nawzad,Helmand,,,0,27078,25736,52814,27078,25736,52814,1395
Sangin,Helmand,,,0,31835,30249,62084,31835,30249,62084,1395
Musa Qala,Helmand,,,0,31469,29883,61352,31469,29883,61352,1395
Kajaki,Helmand,,,0,37933,36104,74037,37933,36104,74037,1395
Reg-i-Khan Nishin,Helmand,,,0,14027,13295,27322,14027,13295,27322,1395
Baghran,Helmand,,,0,34420,32727,67147,34420,32727,67147,1395
Dishu,Helmand,,,0,10855,10368,21223,10855,10368,21223,1395
Marja,Helmand,,,0,14393,13538,27931,14393,13538,27931,1395
Nawamish,Helmand,,,0,9002,8499,17501,9002,8499,17501,1395
province Center (Qala-i- Now),Badghis,7799,7402,15201,27444,26224,53668,35243,33626,68869,1395
Ab Kamari,Badghis,,,0,39031,37323,76354,39031,37323,76354,1395
Muqur,Badghis,,,0,12563,12075,24638,12563,12075,24638,1395
Qadis,Badghis,,,0,48667,45739,94406,48667,45739,94406,1395
Murghab,Badghis,,,0,51594,49276,100870,51594,49276,100870,1395
Jawand,Badghis,,,0,41470,40373,81843,41470,40373,81843,1395
Ghormach,Badghis,,,0,29151,28054,57205,29151,28054,57205,1395
province Center (Herat),Herat,249865,242102,491967,,,0,249865,242102,491967,1395
Enjil,Herat,,,0,129046,124777,253823,129046,124777,253823,1395
Guzera (Nizam-i- Shahid),Herat,,,0,77208,75134,152342,77208,75134,152342,1395
Karrukh,Herat,3701,3437,7138,29883,29395,59278,33584,32832,66416,1395
Zendahjan,Herat,,,0,29761,29517,59278,29761,29517,59278,1395
Pashtun Zarghun,Herat,,,0,53058,50984,104042,53058,50984,104042,1395
Kushk (Rubat-i-Sangi),Herat,8856,8856,17712,56595,55253,111848,65451,64109,129560,1395
Gulran,Herat,,,0,48911,48789,97700,48911,48789,97700,1395
Adraskan,Herat,,,0,28053,27688,55741,28053,27688,55741,1395
Kushk-i- Kuhna,Herat,,,0,24028,23419,47447,24028,23419,47447,1395
